x,JP5,JetA,JP7,JetB,AvGas
66.207,779.267,771.8,751.728,722.2,657.566
66.974,778.645,771.38,750.745,721.217,656.838
67.166,778.485,771.274,750.577,720.993,656.66
67.358,778.321,771.167,750.43,720.777,656.482
68.893,776.875,770.241,749.45,719.333,655.113
69.661,776.036,769.693,748.994,718.894,654.468
70.236,775.467,769.239,748.648,718.906,654.002
71.004,774.953,768.591,748.152,721.569,653.395
71.963,774.649,767.745,747.301,720.087,652.638
73.306,774.354,766.548,745.766,717.352,651.521
73.498,774.3,766.38,745.608,716.975,651.352
73.882,774.17,766.052,745.327,716.252,651.005
75.129,773.447,765.127,744.609,714.224,649.794
75.801,772.865,764.726,744.286,713.526,649.109
75.993,772.678,764.621,744.164,713.648,648.911
76.76,771.861,764.226,743.643,714.282,648.12
78.103,770.304,763.572,742.693,713.448,646.779
79.83,768.541,762.687,741.452,712.053,645.264
80.022,768.405,762.575,741.314,711.895,645.107
80.406,768.214,762.338,741.037,711.586,644.796
81.653,768.153,761.339,740.137,710.778,643.782
81.749,768.146,761.196,740.068,710.716,643.702
82.133,768.073,760.898,739.791,710.429,643.377
82.325,768.007,760.762,739.653,710.27,643.212
84.244,766.774,759.422,738.25,708.607,641.535
84.915,766.256,758.95,737.731,708.121,640.958
85.779,765.593,758.339,737.061,708.207,640.241
85.97,765.45,758.202,736.913,708.113,640.087
86.162,765.309,758.064,736.765,707.99,639.934
86.738,764.905,757.647,736.325,707.545,639.489
88.081,764.057,756.643,735.362,706.358,638.5
89.232,763.407,755.754,734.538,705.286,637.691
89.424,763.303,755.605,734.399,705.105,637.557
89.904,763.045,755.233,734.051,704.653,637.225
90,762.993,755.159,733.982,704.562,637.159
